Gene Target,Interacting Gene,Tissue,Enrichr Library
ALDR1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CBX3,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CHD1,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ALDR1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ALR,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
ALR,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ALR,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ARM,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
ARM,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ARM,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,POLR2AphosphoS2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,SMARCB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,TBP,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,KDM5B,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTBP2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,MYC,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,BHLHE40,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,eGFP-HDAC8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,BACH1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,EZH2,Unspecified,ENCODE_TF_ChIP-seq_2015
