GENE,TISSUE,LIBRARY
BRAF,panceas,ENCODE_TF_ChIP-seq_2015
BRAF,memory,ENCODE_TF_ChIP-seq_2015
BRAF,liver,ENCODE_TF_ChIP-seq_2015
BRAF,hippocampus,ENCODE_TF_ChIP-seq_2015
BRAF,retinal,ENCODE_TF_ChIP-seq_2015
BRAF,muscle,ENCODE_TF_ChIP-seq_2015
BRAF,kidney,ENCODE_TF_ChIP-seq_2015
BRAF,leukocyte,ENCODE_TF_ChIP-seq_2015
BRAF,heart,ENCODE_TF_ChIP-seq_2015
